Name of tips,Number of mutations
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_24695_11799_3,18
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_25269_21084_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_25342_22131_4,14
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_26163_8318_5,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_27270_14515_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_27304_17429_4,17
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_27364_6005_6,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_28483_13101_3,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_4152_11401_4,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_5916_16095_3,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_8307_15228_4,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_8318_7716_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_8539_22774_4,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_8852_9446_5,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1105_9341_15323_4,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_10157_12375_6,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_10160_11811_3,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_10244_6233_4,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_10347_4432_6,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_10549_18934_4,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_10846_7376_3,16
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_10947_17090_4,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_10951_20475_5,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_11195_11894_3,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_11370_14452_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_11387_1477_5,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_12032_4919_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_12115_5481_7,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_12834_3104_6,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_13031_17144_7,21
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_13454_8945_9,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_13578_5098_6,17
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_13982_10998_4,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_14039_15488_3,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_14131_6410_8,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_14517_17787_5,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_15049_4774_4,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_15796_3287_7,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_15922_4320_5,14
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_16142_20138_5,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_16310_7544_4,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_16383_3721_4,16
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_16446_23128_5,30
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_16461_11149_3,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_16576_18892_7,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_16968_17334_3,21
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_16982_3971_7,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_17317_11427_6,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_17388_19998_16,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_17431_21866_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_17583_7227_3,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_17798_20417_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_17958_18333_3,31
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_18272_5569_9,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_18302_16117_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_18488_9919_5,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_18585_8228_4,26
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_18848_21344_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_19476_8285_9,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_19706_3678_6,1
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_20064_14611_5,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_20095_11626_5,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_21196_7200_3,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_21327_14539_4,34
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_21585_12479_4,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_21781_20782_5,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_21842_6125_3,14
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_21996_11739_6,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1106_22202_6388_5,5
